Name,Datatype,Length,Precision,Not-null,Status
ATTRIBUTE_DATE4,DATE,,,,Active
ATTRIBUTE_DATE5,DATE,,,,Active
ATTRIBUTE_DATE6,DATE,,,,Active
ATTRIBUTE_DATE7,DATE,,,,Active
ATTRIBUTE_DATE8,DATE,,,,Active
ATTRIBUTE_DATE9,DATE,,,,Active
ATTRIBUTE_DATE10,DATE,,,,Active
ATTRIBUTE_DATE11,DATE,,,,Active
ATTRIBUTE_DATE12,DATE,,,,Active
ORGANIZATION_SIZE,VARCHAR2,30,,,Active
CERTIFICATION_LEVEL,VARCHAR2,30,,,Active
CERT_REASON_CODE,VARCHAR2,30,,,Active
OBJECT_TYPE_CD,VARCHAR2,30,,,
UNIQUE_NAME_ALIAS,VARCHAR2,360,,,
UNIQUE_NAME_SUFFIX,VARCHAR2,540,,,
SUFFIX_OVERRIDDEN_FLAG,VARCHAR2,1,,,
LDAP_REQUEST_ID,NUMBER,,18,,
BANK_OR_BRANCH_NUMBER,VARCHAR2,30,,,
FILE_RECORD_NUM,NUMBER,,10,,
PARENT_DUNS_NUM_C,VARCHAR2,30,,,
DOMESTIC_ULTIMATE_DUNS_NUM_C,VARCHAR2,30,,,
GLOBAL_ULTIMATE_DUNS_NUM_C,VARCHAR2,30,,,
EXTN_ATTRIBUTE_TIMESTAMP001,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP002,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP003,TIMESTAMP,,,,
EXTN_ATTRIBUTE_NUMBER001,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER002,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER003,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER004,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER005,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER006,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER007,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER008,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR001,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR002,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR003,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR004,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR005,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR006,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR007,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR008,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR009,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR010,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR011,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR012,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR013,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR014,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_TIMESTAMP004,TIMESTAMP,,,,
EXTN_ATTRIBUTE_TIMESTAMP005,TIMESTAMP,,,,
